episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
11,6971.400000000002,219.2999999999999,61.8,440.7999999999999,440.0,2229.0,528,87.41176470588236,564.695652173913,11,11,100.0,4180.133333333333,10,58,71,1161.9000000000003
12,7492.199999999999,214.9,50.0,433.8,550.0,2185.0,539,85.68627450980392,573.0,14,14,100.0,4536.333333333333,11,52,71,1248.6999999999998
13,2463.800000000002,214.7,65.6,431.5999999999999,520.0,2183.0,542,85.6078431372549,579.2608695652174,15,15,100.0,5278.133333333333,11,54,71,1231.9
14,7390.049999999997,219.3,73.375,438.99999999999994,500.0,2229.0,397,87.41176470588236,587.7826086956521,11,11,100.0,3646.0666666666666,12,63,71,1231.6750000000004
15,6974.332467532468,218.10000000000002,64.08874458874459,440.2,440.0,2220.0,506,87.05882352941177,565.0869565217391,11,11,100.0,3498.133333333333,13,59,71,1162.3887445887449
16,7074.718487394959,208.80000000000004,66.91974789915966,423.3999999999998,480.0,2133.0,370,83.6470588235294,649.304347826087,14,14,100.0,4892.6,14,56,71,1179.11974789916
17,7866.668181818186,212.10000000000005,78.81136363636362,430.20000000000005,590.0,2164.0,354,84.86274509803921,672.8260869565217,13,13,100.0,3379.0666666666666,15,59,71,1311.1113636363634
18,7660.2000000000035,216.39999999999986,84.3,436.00000000000006,540.0,2200.0,365,86.27450980392157,657.8260869565217,14,14,100.0,4566.2,16,57,71,1276.6999999999996
19,7974.600000000001,216.10000000000008,85.6,437.39999999999986,590.0,2197.0,202,86.15686274509804,670.7826086956521,15,15,100.0,5040.933333333333,17,60,71,1329.0999999999995
20,7617.367921784096,221.39999999999998,95.1613202973497,442.99999999999994,510.0,2250.0,131,88.23529411764706,689.4347826086956,11,11,100.0,3735.4666666666667,18,55,71,1269.5613202973498
21,8759.994155844155,216.80000000000004,97.59902597402598,435.60000000000014,710.0,2204.0,149,86.4313725490196,703.0,15,15,100.0,3557.266666666667,19,50,71,1459.9990259740257
22,7765.224755894262,214.49999999999994,99.10412598237676,430.5999999999999,550.0,2181.0,150,85.52941176470588,707.9130434782609,15,15,100.0,5099.8,20,55,71,1294.204125982377
23,8724.748351648353,216.60000000000002,104.32472527472528,433.1999999999999,700.0,2202.0,125,86.3529411764706,710.0869565217391,15,15,100.0,3586.9333333333334,21,59,71,1454.124725274725
24,8486.999999999998,218.89999999999998,96.0,439.59999999999997,660.0,2225.0,112,87.25490196078431,691.3913043478261,14,14,100.0,3527.266666666667,22,49,71,1414.5000000000011
25,7886.084848484847,207.79999999999993,86.74747474747475,419.79999999999984,600.0,2114.0,182,82.90196078431372,727.1304347826087,12,12,100.0,2963.866666666667,23,36,71,1314.347474747475
26,7876.539560439563,210.00000000000003,87.9565934065934,424.79999999999995,590.0,2147.0,79,84.19607843137254,704.6521739130435,12,12,100.0,2963.6666666666665,24,35,71,1312.7565934065929
27,6721.06923076923,212.90000000000003,100.07820512820513,427.20000000000005,380.0,2165.0,153,84.90196078431373,714.4347826086956,9,9,100.0,3230.9333333333334,25,27,71,1120.1782051282062
28,7289.575578769055,208.2,83.32926312817618,423.4,500.0,2129.0,134,83.49019607843138,703.6521739130435,10,10,100.0,2815.6666666666665,26,41,71,1214.9292631281762
29,8322.700974025975,224.90000000000006,71.416829004329,450.7999999999999,640.0,2293.0,7,89.92156862745098,658.8695652173913,15,15,100.0,4120.933333333333,27,49,71,1387.1168290043288
30,6931.735714285714,206.6,96.08928571428571,422.6000000000001,430.0,2105.0,201,82.54901960784314,716.8695652173913,9,9,100.0,2845.0666666666666,28,49,71,1155.2892857142863
31,8098.773226773231,214.29999999999993,95.89553779553776,429.59999999999985,610.0,2179.0,37,85.45098039215686,706.8260869565217,13,13,100.0,3527.266666666667,29,53,71,1349.7955377955377
32,8348.616806722688,210.30000000000004,95.7361344537815,425.4,660.0,2139.0,112,83.88235294117648,699.5217391304348,14,14,100.0,3527.4666666666667,30,45,71,1391.4361344537817
33,8044.369911512639,219.69999999999996,76.42831858543933,444.59999999999997,600.0,2233.0,31,87.5686274509804,709.1304347826087,12,12,100.0,2875.0666666666666,31,46,71,1340.7283185854385
34,6864.553846153849,217.99999999999997,85.29230769230769,440.80000000000007,400.0,2216.0,86,86.90196078431373,697.0,8,8,100.0,2667.0666666666666,32,56,71,1144.0923076923068
