episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
27,1217.2285714285717,217.70000000000007,99.92857142857143,439.60000000000014,460.0,2213.0,89,86.7843137254902,733.9565217391304,10,10,100.0,3231.0666666666666,23,47,71
28,1163.1411764705883,215.0,80.94117647058823,437.1999999999998,430.0,2189.0,31,85.84313725490196,708.7391304347826,10,10,100.0,3201.2,24,47,71
29,1105.3272727272727,224.30000000000004,82.22727272727273,448.79999999999984,350.0,2279.0,14,89.37254901960785,664.2173913043479,9,9,100.0,3379.133333333333,25,49,71
30,1146.9041906236175,206.7999999999999,96.70419062361786,423.4000000000001,420.0,2104.0,174,82.50980392156862,717.3478260869565,9,9,100.0,2874.866666666667,26,55,71
31,1097.9820151984238,213.6,101.18201519842387,433.2,350.0,2183.0,52,85.6078431372549,711.0434782608696,7,7,100.0,2786.0666666666666,26,48,71
32,1157.420238095238,213.20000000000005,108.8202380952381,435.40000000000003,400.0,2168.0,83,85.01960784313725,701.695652173913,8,8,100.0,2815.6666666666665,27,52,71
33,1360.9163101604277,218.49999999999997,98.61631016042782,443.7999999999999,600.0,2219.0,131,87.01960784313727,706.6521739130435,12,12,100.0,2875.0666666666666,28,52,71
34,1136.9432330827067,218.59999999999994,77.14323308270676,441.2,400.0,2222.0,20,87.13725490196079,695.1304347826087,8,8,100.0,2696.733333333333,29,32,71
35,1176.7571428571425,226.89999999999998,95.85714285714286,453.9999999999999,400.0,2305.0,118,90.3921568627451,686.9565217391304,8,8,100.0,2786.0666666666666,30,25,71
36,1343.6991158609185,211.9000000000001,104.59911586091927,427.2000000000001,600.0,2155.0,119,84.50980392156863,734.304347826087,12,12,100.0,2875.0666666666666,30,44,71
37,1242.899845768266,216.20000000000005,88.69984576826683,437.9999999999999,500.0,2198.0,144,86.19607843137254,703.5652173913044,10,10,100.0,2726.4,31,48,71
