episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
11,6322.135714285718,218.70000000000002,74.3892857142857,440.5999999999999,320.0,2223.0,263,87.17647058823529,657.9565217391304,10,10,100.0,4328.666666666667,9,52,71,1053.6892857142855
12,7523.400000000002,216.00000000000003,72.3,435.59999999999997,530.0,2207.0,266,86.54901960784314,661.1304347826087,12,12,100.0,3467.6666666666665,10,56,71,1253.8999999999996
13,6686.300000000002,219.00000000000006,63.58333333333333,441.79999999999995,390.0,2237.0,263,87.72549019607843,658.0869565217391,15,15,100.0,6167.666666666667,11,61,71,1114.383333333333
14,8015.788335194216,227.00000000000006,55.36472253236959,453.60000000000014,600.0,2306.0,197,90.43137254901961,634.5217391304348,14,14,100.0,3942.5333333333333,12,56,71,1335.96472253237
15,8220.950596462364,225.2,63.95843274372685,450.9999999999999,630.0,2288.0,234,89.72549019607843,636.1739130434783,14,14,100.0,4002.2,13,53,71,1370.158432743726
16,8205.261428571428,214.89999999999998,78.24357142857143,434.3999999999999,640.0,2195.0,132,86.07843137254902,643.8695652173913,14,14,100.0,3705.5333333333333,14,53,71,1367.5435714285716
17,8051.353813678581,219.50000000000003,75.99230227976358,436.3999999999999,610.0,2231.0,173,87.49019607843137,673.7391304347826,13,13,100.0,3260.4666666666667,15,58,71,1341.892302279763
18,6579.470329670333,215.89999999999992,76.27838827838829,434.3999999999999,370.0,2195.0,170,86.07843137254902,708.7826086956521,11,11,100.0,4447.533333333334,16,54,71,1096.5783882783871
19,5944.799999999998,218.59999999999997,93.0,439.1999999999998,240.0,2228.0,100,87.37254901960785,679.4782608695652,10,10,100.0,5337.533333333334,17,48,71,990.8000000000001
20,8355.085714285715,220.29999999999993,92.21428571428572,440.0,640.0,2239.0,196,87.80392156862746,651.9130434782609,15,15,100.0,4269.133333333333,18,52,71,1392.514285714285
21,7350.8977712824235,215.80000000000007,87.549628547071,431.79999999999995,490.0,2194.0,141,86.0392156862745,686.0434782608696,12,12,100.0,3824.4,19,42,71,1225.1496285470716
22,6890.647058823532,210.89999999999998,83.74117647058823,423.7999999999997,430.0,2145.0,190,84.11764705882354,692.3478260869565,11,11,100.0,4180.066666666667,20,53,71,1148.4411764705874
23,7344.726923076925,217.20000000000002,97.72115384615384,439.19999999999993,470.0,2219.0,208,87.01960784313727,665.0434782608696,10,10,100.0,2874.733333333333,21,61,71,1224.1211538461541
24,7058.454545454549,218.5999999999999,68.4090909090909,439.3999999999999,450.0,2222.0,159,87.13725490196079,670.3913043478261,10,10,100.0,3349.8,22,45,71,1176.4090909090905
25,8470.168831168829,214.2999999999999,93.1948051948052,434.2,670.0,2179.0,213,85.45098039215686,703.7391304347826,15,15,100.0,3824.133333333333,23,46,71,1411.6948051948054
26,2678.1783549783545,217.60000000000008,85.28917748917749,436.20000000000005,600.0,2212.0,195,86.74509803921569,663.1304347826087,13,13,100.0,3408.6,23,57,71,1339.0891774891768
27,7226.45454545455,213.89999999999998,76.5090909090909,433.9999999999999,480.0,2186.0,317,85.72549019607844,669.4347826086956,11,11,100.0,3408.6666666666665,24,60,71,1204.40909090909
28,7477.77272727273,214.19999999999996,97.49545454545455,434.6,500.0,2189.0,218,85.84313725490196,671.6086956521739,11,11,100.0,3201.133333333333,25,57,71,1246.2954545454543
29,7131.900000000002,221.3,73.15,444.2,450.0,2249.0,106,88.19607843137256,645.7391304347826,15,15,100.0,5722.8,26,55,71,1188.6499999999999
30,7469.068181818181,204.10000000000008,86.34469696969697,414.39999999999986,540.0,2088.0,240,81.88235294117648,692.4347826086956,15,15,100.0,4803.333333333333,27,60,71,1244.8446969696968
31,7934.1,220.0,72.75,439.6,590.0,2236.0,287,87.68627450980392,643.4347826086956,14,14,100.0,4239.333333333333,28,63,71,1322.3500000000004
32,6240.4538461538505,213.9,94.57564102564102,431.5999999999999,300.0,2175.0,208,85.29411764705883,677.9565217391304,10,10,100.0,4476.866666666667,29,60,71,1040.075641025641
33,7770.300000000002,218.49999999999997,75.55,440.99999999999983,560.0,2227.0,196,87.33333333333333,685.3478260869565,15,15,100.0,4743.8,30,61,71,1295.049999999999
34,2550.114285714288,216.99999999999997,91.85714285714286,436.1999999999999,530.0,2212.0,187,86.74509803921569,673.4782608695652,12,12,100.0,3467.9333333333334,30,55,71,1275.0571428571434
