condition,seed,episode,phase,urgent_lot_CT_s,target_meet_rate_pct,total_reward,masking_rate
PureDRL,s777,95,eval,2756.3,88.35,1113.8,0.0
PureDRL,s777,96,eval,2904.6,86.63,1155.3,0.0
PureDRL,s777,97,eval,2696.7,87.29,1114.9,0.0
PureDRL,s777,98,eval,2786.1,90.27,1129.0,0.0
PureDRL,s777,99,eval,2845.3,84.31,1087.0,0.0
PureDRL,s777,100,eval,2786.1,88.08,1113.6,0.0
PureDRL,s2024,1,train,3320.1,85.37,1092.4,0.0
PureDRL,s2024,2,train,4121.1,86.08,1286.9,0.0
PureDRL,s2024,3,train,4714.7,86.55,1253.2,0.0
PureDRL,s2024,4,train,5278.3,84.43,1147.1,0.0
PureDRL,s2024,5,train,4536.5,88.9,1265.1,0.0
PureDRL,s2024,6,train,3527.7,87.73,1114.5,0.0
PureDRL,s2024,7,train,3557.1,83.33,1191.7,0.0
PureDRL,s2024,8,train,2815.7,87.8,1167.5,0.0
PureDRL,s2024,9,train,2845.2,89.37,1094.7,0.0
PureDRL,s2024,10,train,3883.7,86.12,1228.0,0.0
PureDRL,s2024,11,train,3082.6,86.0,1068.0,0.0
PureDRL,s2024,12,train,3438.7,86.04,1204.4,0.0
PureDRL,s2024,13,train,3171.5,87.49,1104.2,0.0
PureDRL,s2024,14,train,2845.2,89.96,1162.0,0.0
PureDRL,s2024,15,train,3587.3,89.65,1171.2,0.0
PureDRL,s2024,16,train,3408.7,86.43,1203.0,0.0
PureDRL,s2024,17,train,4121.1,86.31,1207.3,0.0
PureDRL,s2024,18,train,3883.7,88.24,1371.4,0.0
PureDRL,s2024,19,train,4625.3,88.55,1090.0,0.0
PureDRL,s2024,20,train,4002.5,85.73,1189.6,0.0
PureDRL,s2024,21,train,3587.1,84.31,1246.0,0.0
PureDRL,s2024,22,train,3557.1,84.75,1266.7,0.0
PureDRL,s2024,23,train,3498.0,88.16,1208.4,0.0
PureDRL,s2024,24,train,4061.8,88.39,1000.4,0.0
PureDRL,s2024,25,train,4180.4,85.22,1241.5,0.0
PureDRL,s2024,26,train,3230.9,84.94,1117.0,0.0
PureDRL,s2024,27,train,3646.5,84.9,992.7,0.0
PureDRL,s2024,28,train,3320.1,84.51,1096.1,0.0
PureDRL,s2024,29,train,3616.8,89.92,1109.9,0.0
PureDRL,s2024,30,train,3438.7,87.14,1158.1,0.0
PureDRL,s2024,31,train,3320.2,84.98,999.1,0.0
PureDRL,s2024,32,train,3823.7,86.47,963.9,0.0
PureDRL,s2024,33,train,3290.5,90.27,1169.2,0.0
PureDRL,s2024,34,train,3349.3,86.55,1110.5,0.0
PureDRL,s2024,35,train,3439.0,90.47,1101.1,0.0
PureDRL,s2024,36,train,4387.8,84.94,1201.6,0.0
PureDRL,s2024,37,train,3616.5,81.45,1151.7,0.0
PureDRL,s2024,38,train,3527.7,77.49,1041.0,0.0
PureDRL,s2024,39,train,3972.7,88.86,1282.2,0.0
PureDRL,s2024,40,train,4358.7,82.51,1068.4,0.0
PureDRL,s2024,41,train,3706.0,81.45,1279.4,0.0
PureDRL,s2024,42,train,4358.5,81.45,1162.5,0.0
PureDRL,s2024,43,train,3765.1,83.73,1185.1,0.0
PureDRL,s2024,44,train,3142.0,79.69,1040.6,0.0
PureDRL,s2024,45,train,5129.5,81.57,1182.8,0.0
PureDRL,s2024,46,train,4417.7,81.02,1220.4,0.0
PureDRL,s2024,47,train,3794.8,85.25,1150.2,0.0
PureDRL,s2024,48,train,3854.2,85.65,1237.6,0.0
PureDRL,s2024,49,train,4299.2,82.2,1177.8,0.0
PureDRL,s2024,50,train,4684.7,83.06,1094.2,0.0
PureDRL,s2024,51,train,4358.6,86.43,1280.4,0.0
PureDRL,s2024,52,train,6731.9,89.14,1210.7,0.0
PureDRL,s2024,53,train,4299.2,89.22,1242.5,0.0
PureDRL,s2024,54,train,4833.0,86.39,1252.1,0.0
PureDRL,s2024,55,train,3646.5,87.1,1301.1,0.0
PureDRL,s2024,56,train,4803.5,88.39,1150.2,0.0
PureDRL,s2024,57,train,4180.5,87.57,1280.1,0.0
PureDRL,s2024,58,train,4476.8,88.08,1272.4,0.0
PureDRL,s2024,59,train,4002.5,87.29,1266.6,0.0
PureDRL,s2024,60,train,4388.1,88.55,1260.2,0.0
PureDRL,s2024,61,train,4121.5,82.98,1116.4,0.0
PureDRL,s2024,62,train,5159.2,88.71,1248.0,0.0
PureDRL,s2024,63,train,4180.3,86.31,1182.5,0.0
PureDRL,s2024,64,train,4032.2,89.06,1343.7,0.0
PureDRL,s2024,65,train,4981.3,88.82,1252.3,0.0
PureDRL,s2024,66,train,4239.9,87.61,1315.6,0.0
PureDRL,s2024,67,train,3586.9,87.22,1293.4,0.0
PureDRL,s2024,68,train,4358.5,82.04,1210.6,0.0
PureDRL,s2024,69,train,4951.7,84.12,1282.8,0.0
PureDRL,s2024,70,train,3171.6,87.14,1045.4,0.0
PureDRL,s2024,71,eval,4388.3,81.8,1213.8,0.0
PureDRL,s2024,72,eval,4684.9,85.41,1210.0,0.0
PureDRL,s2024,73,eval,4625.5,83.1,1213.3,0.0
PureDRL,s2024,74,eval,4388.1,80.86,1206.6,0.0
PureDRL,s2024,75,eval,4388.1,81.02,1227.0,0.0
PureDRL,s2024,76,eval,4477.3,84.08,1249.8,0.0
PureDRL,s2024,77,eval,4951.9,91.53,1288.4,0.0
PureDRL,s2024,78,eval,4566.5,83.88,1158.5,0.0
PureDRL,s2024,79,eval,4625.6,82.59,1239.2,0.0
PureDRL,s2024,80,eval,5100.1,82.08,1214.8,0.0
PureDRL,s2024,81,eval,5278.1,81.33,981.2,0.0
PureDRL,s2024,82,eval,4239.7,84.98,1227.1,0.0
PureDRL,s2024,83,eval,4299.3,83.73,1237.9,0.0
PureDRL,s2024,84,eval,4447.6,83.96,1248.3,0.0
PureDRL,s2024,85,eval,5100.2,82.39,1188.3,0.0
PureDRL,s2024,86,eval,4477.3,82.35,1227.1,0.0
PureDRL,s2024,87,eval,4358.5,81.84,1224.5,0.0
PureDRL,s2024,88,eval,4477.3,81.18,1230.0,0.0
PureDRL,s2024,89,eval,4388.1,88.2,1272.1,0.0
PureDRL,s2024,90,eval,4773.8,83.8,1189.3,0.0
PureDRL,s2024,91,eval,4358.5,81.76,1214.1,0.0
PureDRL,s2024,92,eval,4328.9,82.31,1228.3,0.0
PureDRL,s2024,93,eval,4655.4,81.8,1173.4,0.0
PureDRL,s2024,94,eval,4773.9,82.63,1111.3,0.0
PureDRL,s2024,95,eval,4625.6,80.94,1096.4,0.0
PureDRL,s2024,96,eval,4358.5,80.16,1211.8,0.0
PureDRL,s2024,97,eval,4328.8,80.0,1223.0,0.0
PureDRL,s2024,98,eval,4328.8,84.35,1241.6,0.0
PureDRL,s2024,99,eval,4358.5,81.49,1222.8,0.0
PureDRL,s2024,100,eval,4477.3,82.35,1236.6,0.0
PureDRL,s7,1,train,4714.6,85.18,1141.5,0.0
PureDRL,s7,2,train,4121.0,86.78,1209.9,0.0
PureDRL,s7,3,train,3468.7,86.35,1120.7,0.0
PureDRL,s7,4,train,4002.1,84.59,1137.9,0.0
PureDRL,s7,5,train,4536.7,89.25,1276.6,0.0
PureDRL,s7,6,train,4269.1,88.27,1259.9,0.0
PureDRL,s7,7,train,3794.4,86.12,1088.4,0.0
PureDRL,s7,8,train,3734.7,89.29,1162.8,0.0
PureDRL,s7,9,train,4832.9,90.31,1211.1,0.0
PureDRL,s7,10,train,4358.4,87.96,1247.5,0.0
PureDRL,s7,11,train,4180.3,85.69,1239.5,0.0
PureDRL,s7,12,train,4655.1,86.78,1198.7,0.0
PureDRL,s7,13,train,4358.1,87.49,1215.1,0.0
PureDRL,s7,14,train,4595.5,90.55,1013.1,0.0
PureDRL,s7,15,train,3794.8,88.08,1221.0,0.0
PureDRL,s7,16,train,3942.9,87.33,1186.8,0.0
PureDRL,s7,17,train,3587.1,85.96,1096.8,0.0
PureDRL,s7,18,train,2993.9,87.45,1096.6,0.0
PureDRL,s7,19,train,3913.2,88.43,1120.3,0.0
PureDRL,s7,20,train,4595.9,86.98,1240.2,0.0
PureDRL,s7,21,train,3320.3,85.25,1143.4,0.0
PureDRL,s7,22,train,5159.1,85.18,932.6,0.0
PureDRL,s7,23,train,3587.0,88.24,1227.4,0.0
PureDRL,s7,24,train,4951.7,87.76,1248.8,0.0
PureDRL,s7,25,train,4239.5,87.37,1207.4,0.0
PureDRL,s7,26,train,3735.1,84.59,1206.9,0.0
PureDRL,s7,27,train,3854.2,87.18,1039.3,0.0
PureDRL,s7,28,train,4625.5,85.76,1193.7,0.0
PureDRL,s7,29,train,3290.5,88.43,1096.5,0.0
PureDRL,s7,30,train,4299.1,84.24,1228.4,0.0
PureDRL,s7,31,train,4180.5,86.59,1256.3,0.0
PureDRL,s7,32,train,4625.4,85.29,1262.5,0.0
PureDRL,s7,33,train,3735.5,89.37,1284.5,0.0
PureDRL,s7,34,train,4803.4,86.94,1232.3,0.0
PureDRL,s7,35,train,4833.3,90.63,1222.5,0.0
PureDRL,s7,36,train,4417.9,84.55,1251.2,0.0
PureDRL,s7,37,train,4210.4,87.92,1257.6,0.0
PureDRL,s7,38,train,4655.3,87.53,1196.4,0.0
PureDRL,s7,39,train,4892.6,87.69,1212.6,0.0
PureDRL,s7,40,train,4477.2,87.25,1270.3,0.0
